iter	Passed	Remaining
0	125	125258
1	127	63514
2	129	42887
3	132	32908
4	134	26708
5	135	22508
6	137	19506
7	139	17298
8	141	15552
9	142	14151
10	144	13007
11	146	12082
12	148	11271
13	150	10571
14	151	9941
15	152	9398
16	154	8927
17	155	8493
18	156	8097
19	157	7736
20	158	7410
21	160	7140
22	161	6875
23	162	6624
24	163	6389
25	164	6175
26	165	5975
27	166	5789
28	167	5616
29	168	5454
30	169	5297
31	170	5149
32	171	5011
33	171	4883
34	172	4760
35	173	4659
36	174	4553
37	175	4452
38	176	4351
39	177	4255
40	178	4164
41	178	4078
42	179	3995
43	180	3916
44	180	3839
45	181	3765
46	182	3694
47	182	3626
48	183	3560
49	184	3499
50	184	3439
51	185	3384
52	186	3327
53	186	3273
54	187	3222
55	188	3172
56	188	3125
57	190	3086
58	190	3043
59	191	3000
60	192	2958
61	192	2917
62	193	2877
63	194	2839
64	194	2801
65	195	2765
66	196	2729
67	196	2695
68	197	2661
69	197	2629
70	198	2599
71	199	2568
72	199	2538
73	200	2509
74	201	2481
75	202	2456
76	202	2429
77	203	2403
78	204	2380
79	205	2361
80	206	2338
81	206	2315
82	207	2288
83	207	2266
84	208	2244
85	209	2222
86	209	2201
87	210	2181
88	211	2161
89	211	2141
90	212	2122
91	213	2103
92	213	2084
93	214	2066
94	215	2050
95	215	2033
96	216	2016
97	217	1999
98	218	1984
99	218	1970
100	220	1958
101	220	1943
102	221	1928
103	222	1913
104	222	1898
105	223	1884
106	224	1870
107	224	1856
108	225	1842
109	226	1828
110	226	1815
111	227	1802
112	227	1789
113	228	1776
114	229	1765
115	230	1753
116	230	1740
117	231	1729
118	232	1717
119	232	1707
120	234	1701
121	234	1690
122	235	1680
123	236	1670
124	237	1660
125	238	1650
126	238	1640
127	239	1630
128	239	1620
129	240	1610
130	241	1600
131	241	1590
132	242	1580
133	243	1571
134	243	1562
135	244	1553
136	245	1544
137	245	1535
138	246	1526
139	247	1518
140	247	1510
141	248	1503
142	249	1496
143	250	1489
144	251	1481
145	251	1473
146	252	1465
147	253	1457
148	253	1450
149	254	1442
150	255	1434
151	255	1427
152	256	1419
153	257	1412
154	257	1405
155	258	1398
156	259	1391
157	259	1384
158	260	1377
159	261	1370
160	261	1362
161	262	1356
162	263	1351
163	264	1346
164	264	1340
165	265	1334
166	266	1328
167	266	1322
168	267	1315
169	268	1309
170	268	1303
171	269	1297
172	270	1291
173	270	1286
174	271	1280
175	272	1274
176	272	1268
177	273	1263
178	274	1257
179	274	1251
180	275	1246
181	276	1241
182	276	1236
183	278	1233
184	278	1228
185	279	1223
186	280	1218
187	280	1212
188	281	1208
189	282	1202
190	282	1197
191	283	1192
192	284	1187
193	284	1183
194	285	1178
195	286	1173
196	286	1168
197	287	1164
198	288	1159
199	288	1154
200	289	1150
201	289	1145
202	290	1141
203	291	1136
204	292	1134
205	293	1130
206	294	1126
207	294	1122
208	295	1117
209	295	1113
210	296	1109
211	297	1104
212	297	1100
213	298	1096
214	299	1092
215	299	1088
216	300	1084
217	301	1079
218	301	1075
219	302	1071
220	302	1067
221	303	1063
222	304	1060
223	304	1056
224	305	1052
225	306	1051
226	307	1048
227	308	1045
228	309	1041
229	310	1037
230	310	1034
231	311	1030
232	311	1027
233	312	1023
234	313	1019
235	313	1016
236	314	1012
237	315	1008
238	315	1005
239	316	1001
240	317	998
241	317	995
242	318	991
243	319	988
244	319	985
245	320	981
246	321	978
247	322	977
248	323	974
249	323	971
250	324	968
251	325	965
252	325	961
253	326	958
254	327	955
255	327	952
256	328	949
257	329	946
258	329	943
259	330	940
260	331	937
261	331	934
262	332	931
263	333	928
264	333	925
265	334	922
266	335	920
267	335	917
268	336	915
269	337	913
270	338	910
271	339	908
272	339	905
273	340	902
274	341	899
275	341	896
276	342	893
277	343	891
278	343	888
279	344	885
280	345	882
281	345	880
282	346	877
283	346	874
284	347	872
285	348	869
286	349	867
287	349	864
288	350	861
289	351	859
290	352	858
291	353	855
292	353	853
293	354	851
294	355	848
295	355	845
296	356	843
297	357	841
298	357	838
299	358	835
300	358	833
301	359	831
302	360	828
303	360	826
304	361	823
305	362	821
306	363	819
307	363	817
308	364	815
309	365	813
310	366	811
311	367	809
312	368	807
313	368	805
314	369	804
315	370	802
316	371	799
317	371	797
318	372	795
319	373	792
320	373	790
321	374	788
322	375	786
323	375	783
324	376	781
325	377	779
326	377	777
327	378	775
328	379	773
329	379	771
330	380	769
331	381	768
332	382	766
333	383	764
334	383	762
335	384	759
336	385	757
337	385	755
338	386	753
339	387	751
340	387	749
341	388	747
342	389	745
343	389	743
344	390	741
345	391	739
346	391	737
347	392	734
348	392	732
349	393	730
350	394	728
351	394	726
352	395	724
353	396	723
354	397	721
355	397	719
356	398	717
357	399	715
358	399	713
359	400	712
360	401	710
361	401	708
362	402	706
363	403	704
364	403	702
365	404	700
366	405	698
367	405	697
368	406	695
369	407	693
370	407	691
371	408	689
372	409	687
373	410	686
374	411	685
375	411	683
376	412	681
377	413	679
378	413	678
379	414	676
380	415	674
381	415	672
382	416	670
383	417	668
384	417	667
385	418	665
386	418	663
387	419	661
388	420	659
389	420	658
390	421	656
391	422	654
392	422	652
393	423	651
394	424	649
395	425	648
396	426	647
397	427	645
398	427	644
399	428	642
400	429	640
401	429	639
402	430	637
403	431	635
404	431	634
405	432	632
406	432	630
407	433	629
408	434	627
409	434	625
410	435	624
411	436	622
412	437	621
413	437	619
414	438	617
415	438	616
416	440	616
417	441	614
418	442	613
419	442	611
420	443	609
421	444	608
422	444	606
423	445	604
424	445	603
425	446	601
426	447	600
427	447	598
428	448	596
429	449	595
430	449	593
431	450	592
432	451	590
433	451	589
434	452	587
435	452	585
436	453	584
437	454	583
438	455	582
439	456	580
440	456	579
441	457	577
442	458	576
443	458	574
444	459	573
445	460	571
446	460	570
447	461	568
448	462	567
449	462	565
450	463	564
451	463	562
452	464	561
453	465	559
454	465	558
455	466	556
456	467	555
457	468	554
458	469	553
459	470	551
460	470	550
461	471	549
462	472	547
463	472	546
464	473	544
465	474	543
466	474	541
467	475	540
468	475	538
469	476	537
470	477	535
471	477	534
472	478	533
473	479	531
474	479	530
475	480	528
476	480	527
477	481	526
478	482	525
479	483	524
480	485	523
481	485	522
482	486	520
483	487	519
484	487	518
485	488	516
486	489	515
487	489	513
488	490	512
489	491	511
490	491	509
491	492	508
492	493	507
493	493	505
494	494	504
495	494	502
496	495	501
497	496	500
498	497	499
499	498	498
500	499	497
501	500	496
502	501	495
503	501	493
504	502	492
505	503	491
506	504	490
507	504	488
508	505	487
509	506	486
510	506	485
511	507	483
512	508	482
513	509	481
514	509	480
515	510	479
516	511	477
517	511	476
518	512	475
